Instructor,User_vote,Total_hours,Lecture,Level,Rating
Bluelime Learning Solutions,29,2.0,23,Beginner,4.4
Infinite Skills,29,1.5,24,All Levels,4.2
Framework Television Inc   Mark Lassoff,29,3.0,30,Beginner,4.4
Sean Kaye,29,2.5,25,All Levels,4.1
Robert Lee,29,3.0,112,All Levels,3.9
Federico Fort,29,1.5,7,Beginner,3.8
Saksham Choudhary,29,3.5,31,All Levels,4.4
Robert Lee,29,3.0,112,All Levels,3.9
Framework Television Inc   Mark Lassoff,29,3.0,30,Beginner,4.4
Aryan Kumar,29,2.0,24,All Levels,4.0
Sachin Kafle,29,41.5,142,All Levels,3.8
Eduonix Learning Solutions  Eduonix Tech  ,29,1.0,8,Beginner,3.7
Stuart Reid,29,1.0,16,Beginner,4.7
Packt Publishing,29,1.5,13,Expert,3.6
Laurence Svekis,29,1.5,16,All Levels,4.0
EDUmobile Academy,29,9.5,78,All Levels,4.5
EDUmobile Academy,29,39.0,8,All Levels,4.0
Mammoth Interactive  John Bura,29,31.5,158,Beginner,4.6
Packt Publishing,29,9.5,75,Beginner,3.8
Mammoth Interactive  John Bura,29,11.0,65,Beginner,3.8
Jesse Boyer,29,3.5,37,Beginner,3.8
Anto Aravinth,29,1.5,26,Beginner,3.8
Daniel Hovd,29,2.0,34,Beginner,4.5
Vinay Phadnis,29,8.0,57,All Levels,3.3
John Elder,29,1.5,21,Beginner,4.9
Lachlan Miller,29,4.0,48,Intermediate,4.2
Vivian Aranha,29,1.5,14,All Levels,4.3
Bluelime Learning Solutions,29,2.0,24,Beginner,4.1
Mohamed Adel,29,3.0,22,All Levels,2.8
Debasis Jena,29,8.0,45,All Levels,3.3
Marcos Costa,29,15.5,132,All Levels,4.1
Raja yogan,29,11.5,58,Intermediate,3.6
Page Monk,29,11.0,86,Beginner,4.6
Tech Academy,29,5.0,52,Beginner,3.3
Ghulam Abbas,29,18.0,122,All Levels,4.5
Lee Davies,29,1.0,7,Beginner,4.1
Michael Jachowski,29,2.0,49,Beginner,4.3
Animation Hacks,29,6.0,49,All Levels,3.9
Infinite Skills,29,1.5,20,All Levels,3.7
Katie Patrick,29,2.0,21,All Levels,4.4
M Ajmir GOOLAM HOSSEN,29,1.0,17,Intermediate,3.9
Framework Television Inc   Mark Lassoff,29,3.5,54,Beginner,4.7
Yohann Taieb,29,2.0,20,Intermediate,4.1
Laurence Svekis,29,2.5,35,Beginner,4.8
Junaid Ahmed,29,5.5,65,Beginner,4.0
Laurence Svekis,29,2.0,30,Beginner,4.6
3dmotive LLC,29,2.0,12,Intermediate,4.3
Catalin Stefan,29,6.0,54,All Levels,4.1
Venkatesh Varadachari  Lakshana Ramalingam,29,4.5,38,Expert,3.7
Stone River eLearning,29,2.5,51,All Levels,3.5
Inflame Tech,29,8.0,77,All Levels,3.2
Jordan Baczuk,29,2.5,14,Beginner,4.3
Dave Merton,29,2.0,37,Beginner,4.2
Khalid Hamadeh,29,2.0,31,All Levels,4.0
Kristijan Kralj,29,3.5,54,Intermediate,4.2
Eduonix Learning Solutions  Eduonix Tech  ,29,4.5,37,All Levels,3.7
Andries Bester,29,2.5,97,Beginner,3.1
Sid Azad,28,5.5,29,All Levels,3.8
Musavi Abdullah,28,6.5,72,Beginner,4.3
Mo omar,28,1.5,18,Beginner,2.8
SimpliCode Point,28,26.0,211,All Levels,4.4
Gopal Prasad Malakar,28,2.0,19,All Levels,3.9
Leandro da Costa Gon alves,28,4.5,67,Intermediate,4.6
Liya Peng,28,2.5,35,Beginner,3.2
Happy Code,28,33.0,15,All Levels,3.7
Idan Gabrieli,28,3.0,40,Intermediate,4.0
Pranjal Srivastava,28,1.5,22,All Levels,4.6
Danny James,28,4.0,29,Beginner,4.4
Zach LaCourse,28,25.0,180,All Levels,3.5
Mokhtari Amine,28,6.0,38,Beginner,4.4
   ,28,44.0,9,Intermediate,4.1
Django Ninjas,28,2.5,23,All Levels,3.9
Chaand Sheikh  StudyEasy Organisation,28,5.5,54,Intermediate,4.3
Debasis Jena,28,6.0,44,All Levels,3.8
Indra Programmer,28,6.0,36,All Levels,3.0
TELCOMA Global 68 000  Students ,28,1.5,14,All Levels,2.7
Dare Soremi,28,4.5,76,All Levels,4.7
Mahmoud Raouf,28,4.5,53,All Levels,3.9
Emenwa Global  Zoolord Academy,28,1.5,18,All Levels,3.6
Jo o Gomes,29,3.0,24,All Levels,4.4
Meisam Mansourzadeh  Joe Parys,28,4.5,27,All Levels,3.7
Tom Taulli,28,2.0,13,Beginner,4.3
Valentine Mwangi,28,41.0,8,Beginner,3.4
QScutter Tutorials,28,3.0,37,All Levels,3.2
Bluelime Learning Solutions,28,1.0,14,Beginner,4.0
Lucian Pacurar,28,4.5,52,All Levels,4.1
Sandeep Soni,28,9.0,18,Intermediate,4.4
Harshit Srivastava,28,1.5,16,All Levels,3.5
Vivek Vengala,28,1.5,24,All Levels,3.2
Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,28,4.0,33,Beginner,3.0
Programming Tut,28,1.5,24,Intermediate,4.4
Bluelime Learning Solutions,28,3.0,33,Beginner,3.4
Harshit Srivastava,28,7.0,74,All Levels,2.9
Bluelime Learning Solutions,28,5.0,41,Beginner,4.4
Shivprasad Koirala,28,2.5,5,Beginner,4.3
Packt Publishing,28,9.5,92,Expert,2.6
Federico Fort,28,2.0,18,All Levels,2.9
Sonali Shrivastava,28,25.5,66,Beginner,4.1
Packt Publishing,28,5.0,34,Intermediate,3.7
ahmed elcheikh,28,7.5,10,Beginner,4.8
Daniel Stringer,28,8.5,43,Beginner,4.7
RefactorU LLC,28,1.5,17,Intermediate,4.0
JS Knights,28,1.0,6,All Levels,4.1
Packt Publishing,28,7.5,69,Beginner,4.0
Antonio Papa,28,6.5,72,All Levels,3.7
The Startup Central Co   Jasenko Kreji ,28,2.0,34,All Levels,3.9
Telmo Sampaio,28,3.5,11,Intermediate,4.2
Bluelime Learning Solutions,28,17.5,185,Beginner,3.4
Sobhan N ,28,2.5,23,All Levels,3.5
Syed Chand Shah,28,39.0,8,All Levels,3.6
Launch Programmers,28,3.5,27,All Levels,3.9
Paschalis Kallimanis,28,2.0,9,All Levels,5.0
Laurence Svekis,28,1.5,23,Beginner,4.1
Yohann Taieb,28,36.0,12,Intermediate,4.8
Manuel Amunategui,28,1.5,8,Intermediate,4.1
Dr  Chris Mall   25 000  Students Worldwide,28,4.0,25,All Levels,4.2
Packt Publishing,28,3.0,25,Beginner,4.2
Yume Neoui,28,9.0,28,Intermediate,4.5
Shahidul Islam,28,1.0,9,All Levels,2.8
Dan We,29,4.0,24,Beginner,4.7
Bluelime Learning Solutions,28,33.5,320,Beginner,4.2
Pranjal Srivastava,28,5.5,39,All Levels,4.3
Roni Das,28,13.5,24,All Levels,3.1
Pranjal Srivastava,28,4.0,36,All Levels,3.3
Packt Publishing,28,5.0,54,Intermediate,3.7
Edionik Solutions,28,4.0,58,All Levels,3.4
Hitesh Malviya,28,1.5,13,All Levels,2.6
Packt Publishing,28,6.5,61,Expert,3.4
Bluelime Learning Solutions,28,2.0,20,Beginner,4.1
Arnold Higuit,28,2.5,26,All Levels,4.1
Sobhan N ,28,4.0,45,All Levels,4.3
Estefania Cassingena Navone,28,9.0,220,All Levels,4.7
AgileBill Krebs,28,4.5,31,Beginner,3.9
Pranjal Srivastava  Harshit Srivastava,28,4.0,33,All Levels,4.3
Priyanka P,28,1.5,19,All Levels,3.5
Suspendee Studios,28,5.0,29,Beginner,3.1
Michael Butts,28,2.0,10,Beginner,3.9
Programming Knowledge,28,1.0,5,Beginner,3.9
Packt Publishing,28,11.5,131,Intermediate,4.2
Raphael Asghar,28,8.5,39,Beginner,4.0
Harshit Srivastava,28,3.0,19,All Levels,4.0
Paul Carlo Tordecilla,28,13.0,167,All Levels,4.4
Kalob Taulien,28,38.0,16,Beginner,3.6
Packt Publishing,28,1.5,27,Beginner,4.3
Pranjal Srivastava,28,2.0,21,All Levels,3.5
Tim Buchalka s Learn Programming Academy  Eduardo Rosas,28,8.5,51,All Levels,4.6
DigiFisk  Programming is fun ,28,3.0,22,All Levels,4.8
Packt Publishing,28,3.5,20,Expert,4.0
Bluelime Learning Solutions,28,4.0,51,Beginner,3.9
EDUmobile Academy,28,4.5,36,All Levels,4.0
Dexter Code Lab,28,5.5,41,Beginner,4.1
Insculpt Technologies,28,5.5,49,Intermediate,3.1
Tech Academy,28,1.5,22,Beginner,4.2
SimpliCode Point,28,2.0,17,All Levels,3.3
Vaga Notes,28,2.5,33,All Levels,4.1
Marufa Yasmin,28,37.0,5,All Levels,2.8
Kiran Gavali,28,1.5,31,All Levels,3.6
Coding Cafe,28,7.0,17,All Levels,4.5
Ivan Vidovic  eplantutor ,28,1.5,12,All Levels,3.9
Luc Zio,28,5.5,34,Intermediate,4.5
Packt Publishing,28,3.0,25,Beginner,3.6
Danial Pervaiz,28,4.0,17,All Levels,2.5
Diego Fernandez,28,4.5,36,All Levels,3.5
Nelson Jamal,28,3.0,42,All Levels,4.4
Packt Publishing,28,2.0,20,Beginner,4.1
Sid Azad,28,3.0,13,Beginner,3.4
Abhin Chhabra  Sandeep Kumar  ,28,6.0,49,All Levels,4.5
Nitin Mathur,28,36.0,6,Beginner,3.6
Morgan Page,28,2.0,18,Intermediate,4.5
Fabio Barrese,27,1.0,10,All Levels,3.6
Tom Thayer,27,2.0,31,All Levels,3.8
Shokal Shah  Zone X,27,1.0,5,All Levels,1.5
kiran V,27,3.0,11,All Levels,4.4
Rana Shahzad,27,39.0,188,All Levels,3.9
Jonathan Roux   CodeWithJonathan   Python   Django   iOS   Android   Kivy,27,27.5,385,All Levels,4.9
Sandeep Ghosh,27,24.5,200,All Levels,3.9
CBTec Oy  Karthik Duggirala,27,5.0,41,All Levels,2.9
Felecia Mhonda,27,2.5,14,All Levels,4.3
Venkatesh Varadachari  Vigneshwar GD,27,3.0,51,Beginner,3.3
Alik Feld,27,5.0,26,Beginner,4.3
Nori Hass,27,1.5,19,Beginner,3.6
Bernard Mordan,27,1.5,10,Intermediate,3.5
Packt Publishing,27,2.0,21,Intermediate,3.9
Akhmad Daniel Sembiring,27,3.5,45,Expert,4.5
Oksana Zhebel  PhD,27,1.5,32,Beginner,4.4
Abdul Motin  Marufa Yasmin,27,40.0,5,All Levels,3.1
Dr  Chris Mall   25 000  Students Worldwide,27,4.5,49,All Levels,4.5
Packt Publishing,27,6.0,37,Intermediate,3.7
Nevyan Neykov,27,1.0,13,Intermediate,4.3
Packt Publishing,27,2.0,19,Beginner,4.1
Domien Van Damme,27,44.0,19,All Levels,4.0
Mihaela Fodor,27,1.5,29,All Levels,4.3
Hyo Joon Kim,27,5.5,134,Intermediate,2.3
Syed Mohiuddin,27,6.0,82,Beginner,4.7
Peter A,27,1.0,14,Beginner,3.5
Packt Publishing,27,3.0,31,Intermediate,3.3
Infinite Skills,27,4.0,47,Beginner,4.2
W odek Krakowski,27,2.0,15,Intermediate,4.7
Arun Ammasai,27,2.0,18,All Levels,3.0
Zulqarnain Hayat,27,2.5,30,All Levels,3.6
KC Tan,27,2.0,47,Intermediate,4.2
SimpliCode Point,27,2.0,18,All Levels,3.8
Infinite Skills,27,4.0,47,Beginner,4.2
Volkan Kutlubay,27,5.5,41,Intermediate,3.5
Rahul Rampurkar,27,5.5,16,Beginner,3.9
Valsamis Elmaliotis,27,4.0,43,All Levels,4.9
Lee Davies,27,4.0,11,Beginner,3.8
Ryan Kennedy,27,6.0,37,All Levels,4.6
Yohann Taieb,27,2.0,29,All Levels,4.2
Bartosz Kaminski,27,13.0,31,Beginner,4.2
Stone River eLearning,27,1.5,16,Intermediate,4.0
Packt Publishing,27,5.0,35,Intermediate,3.4
Raja Biswas,27,21.0,106,Beginner,4.8
Testing World Infotech,27,1.0,10,Expert,3.7
   ,27,42.0,9,Intermediate,3.8
Eduonix Learning Solutions,27,4.5,27,Beginner,2.9
Testing World Infotech,27,2.0,20,All Levels,2.8
Reed Barger,27,1.5,15,Beginner,4.4
Coffee Powered Crew  Yogesh Patil,27,5.0,34,All Levels,4.6
Yohann Taieb,27,1.5,24,All Levels,4.0
Emenwa Global  Zoolord Academy,27,1.0,11,All Levels,3.7
Oak Academy,27,13.0,100,All Levels,4.5
Nicky Wong,27,3.0,53,All Levels,3.3
Sandeep Ghosh,27,1.5,11,All Levels,3.8
Packt Publishing,27,3.5,37,Expert,3.7
Vaga Notes,27,2.0,34,All Levels,3.6
Igneus Technologies,27,4.5,58,All Levels,4.0
Dhruv Bais,27,2.0,23,All Levels,3.6
Sorted WP,27,1.0,22,All Levels,3.8
SAP Yard,27,1.0,31,All Levels,3.8
Sanjin Dedic,27,1.5,12,All Levels,4.0
Testing World,27,1.0,10,All Levels,3.8
Packt Publishing,27,3.5,21,Intermediate,4.1
Kelsey Grange,27,11.0,30,All Levels,2.3
Jimmy Murray,27,43.0,20,Beginner,3.2
Class Creatives,27,9.0,79,Beginner,4.2
Packt Publishing,27,3.0,24,Expert,3.9
Qasim Shah  Syed Raza,27,3.0,22,Beginner,3.5
Mateusz Chrzonstowski,27,9.0,81,Intermediate,4.1
Manifold AI Learning  ,27,6.5,77,All Levels,4.2
Eduonix Learning Solutions  Eduonix Tech  ,27,5.5,19,Beginner,3.9
Andrii Shostatskyi,27,4.5,25,All Levels,4.3
Vaga Notes,27,2.5,35,All Levels,4.2
Ernest Jones,27,3.5,52,Beginner,4.5
Le Deng,27,2.0,20,Intermediate,3.6
Le Deng,27,2.0,20,Intermediate,3.6
Tanmoy Das,27,5.5,51,Beginner,4.1
LearningWhilePracticing LWP  Lawrence Decamora,27,20.0,154,All Levels,4.5
Mohammad Azam,27,2.5,29,All Levels,4.5
Niharika Jain  Lavnya upadhyay,27,3.0,30,Beginner,3.7
Shawn Conlin,27,2.5,18,All Levels,3.6
Binary IT Solution,27,2.5,16,Intermediate,3.6
Arthur Tkachenko,27,2.0,42,Intermediate,2.6
John Bura,27,1.0,29,Beginner,3.7
Spring Zone,27,5.5,75,All Levels,4.0
Harshit Srivastava,27,5.0,46,All Levels,3.6
Infinite Skills,27,4.0,39,All Levels,4.4
Sean McCammon,27,3.0,44,All Levels,4.0
Daniel Salom Romero,27,2.5,15,Beginner,4.4
Up Degree,27,3.5,50,Expert,3.9
Sana Nazir,27,1.0,12,All Levels,3.5
Packt Publishing,26,7.0,46,Beginner,4.4
Venkatesh Varadachari  Haresh Arunachalam,26,2.5,21,Intermediate,3.3
Mammoth Interactive  John Bura,26,106.5,402,All Levels,4.4
Peder Thornstrom,26,4.0,32,Beginner,3.8
Packt Publishing,26,2.0,41,Intermediate,3.5
Tejsingh Palharya,26,1.5,8,Beginner,3.3
Hameed Ali Khan,26,2.0,16,All Levels,4.6
KnowledgePowerhouse  ,26,2.0,38,All Levels,4.1
Miltiadis Saratzidis,26,4.0,53,Beginner,4.4
EBISYS R D,26,2.5,20,All Levels,4.3
Greg Pugh,26,3.0,15,Beginner,4.8
Michael E  Vargas JR,26,2.5,35,Intermediate,3.6
SimpliCode Point,26,4.0,29,All Levels,3.3
A O,26,7.0,48,Beginner,4.5
Timo H    C# Development    Net   DevOps,26,3.0,52,Beginner,3.9
Vinoth Selvaraj,26,9.0,148,All Levels,4.8
OnlyKiosk Tech,26,2.0,24,Beginner,4.4
Salesforce troop,26,34.0,177,Beginner,4.8
Loony Corn,26,2.0,18,Intermediate,3.9
Mark Nielsen,26,2.0,25,Beginner,3.9
Laurence Svekis,26,1.0,17,All Levels,4.4
Academy of Computing   Artificial Intelligence  Sammy S  Ayeshmantha Madara Wijegunathileke,26,6.5,76,Beginner,3.8
Analytics Vidhya,26,1.0,11,Beginner,4.3
Taylor Chiu  Thomas Fowles,26,2.0,22,Intermediate,4.4
Mr  Azaz Aiyub Patel,26,34.0,100,All Levels,4.2
Mohamed Belhassen  Ahmed Snoun  Dhoyazan Adbo Othman,26,5.5,43,All Levels,3.9
United Engineering  YouCan Academy,26,11.0,65,All Levels,3.3
Binary IT Solution,26,6.5,64,Beginner,4.7
Hillary Ronoh,26,1.0,18,Beginner,3.9
Augmented Startups  Muhammad Farhan,26,1.5,10,Beginner,3.1
Artemakis Artemiou,26,36.0,8,Beginner,4.5
Brian Christner,26,1.5,28,All Levels,4.3
Michael Harrison,26,3.0,20,Beginner,4.3
Matt Speake  Java Easily,26,3.0,68,All Levels,4.7
Vaughn Clement,26,12.0,65,Beginner,4.3
Broskis Games,26,2.0,23,Beginner,4.1
Filip Vabrou ek,26,1.0,21,Expert,3.3
Le Deng,26,4.5,30,Intermediate,4.2
Bluelime Learning Solutions,26,4.0,42,Intermediate,3.4
Laurence Svekis,26,1.5,19,Beginner,4.4
Packt Publishing,26,2.5,27,All Levels,3.5
Packt Publishing,26,4.0,30,Expert,3.5
Anvar Canada,26,3.0,40,Beginner,4.9
GAURAV KUMAR,26,2.0,15,Beginner,3.8
Packt Publishing,26,6.5,53,Expert,3.6
Laurence Svekis,26,1.0,36,All Levels,4.3
Bigdata Engineer,26,2.0,50,Beginner,2.4
Adam Hayward,26,2.5,22,Beginner,4.2
Techno Crats,26,2.5,47,All Levels,3.4
Abdul Qadeer,26,44.0,8,All Levels,5.0
Loony Corn,26,4.0,28,All Levels,4.6
The Click Reader,26,1.0,13,All Levels,3.9
Packt Publishing,26,1.0,22,Expert,2.8
Kenny Carney,26,11.0,44,Beginner,4.1
Packt Publishing,26,4.5,53,Beginner,3.5
Elvio Cavalcante,26,4.5,88,All Levels,3.9
School of Disruptive Innovation,26,1.5,14,Beginner,4.5
CS PRO  UI5 Community Network,26,5.0,52,Intermediate,3.6
Packt Publishing,26,5.0,44,Beginner,4.1
Packt Publishing,26,3.5,71,Intermediate,3.8
Deepika Khanna,26,8.0,51,Beginner,4.7
Kristijan Kralj,27,4.5,55,Intermediate,4.8
Joe Santos Garcia,26,1.0,15,Beginner,4.0
Bluelime Learning Solutions,26,3.5,31,Beginner,3.4
Md  A  Barik,26,1.5,16,Intermediate,3.9
Alfa e Learning,26,2.0,33,All Levels,3.6
Nevyan Neykov,26,1.5,17,Intermediate,3.7
Robert Gioia,26,1.5,48,Beginner,4.5
Matthew Fried,26,4.5,35,All Levels,4.4
SkillBakery Studio,26,3.0,40,All Levels,4.0
Jesse Boyer,26,3.5,21,Beginner,3.5
KnowledgePowerhouse  ,26,2.0,45,All Levels,3.8
Integrity Training,26,4.0,47,All Levels,4.3
Burt Richard,26,4.5,58,All Levels,3.8
Anjali Singh  Sumit Singh,26,2.5,35,Beginner,3.2
Laurence Svekis,26,1.5,25,Beginner,4.3
Harshit Gindra,26,40.0,11,Beginner,3.3
John Bura,26,1.0,25,Beginner,3.7
Abhishek Potula,26,2.5,13,All Levels,4.0
Stone River eLearning,26,1.5,18,Beginner,4.2
Paul Carlo Tordecilla,26,2.5,23,All Levels,4.1
Usman Raoof  Fahad Chaudhry,26,3.0,28,All Levels,4.2
Jeppe Schaumburg Jensen,26,17.5,165,All Levels,4.6
Lee Assam,25,11.5,106,Beginner,4.7
Yossef Zedan,25,5.0,28,All Levels,4.0
Packt Publishing,25,4.0,45,Beginner,4.2
Academy of Computing   Artificial Intelligence  Future AI    Academy of Computing   Artificial Intelligence  Ayeshmantha Madara Wijegunathileke,25,2.0,35,Beginner,4.2
Subrat Dash   Tankadhar Training and Research Center,25,13.5,115,Beginner,3.4
Taurius Litvinavicius,25,4.5,35,Beginner,3.5
Studio Barn Inc ,25,5.5,46,Beginner,4.3
Packt Publishing,25,3.5,45,Expert,3.6
Mehmet  zkaya,25,7.5,92,Intermediate,4.3
Arun Ammasai,25,5.0,45,All Levels,4.2
Packt Publishing,26,3.5,27,Expert,4.5
Tom Jay,25,1.0,6,Beginner,4.1
Johan Smarius,25,2.5,48,Beginner,4.5
Packt Publishing,26,3.5,27,Expert,4.5
Se kin Sefa Duras ,25,6.5,42,All Levels,3.0
Bluelime Learning Solutions,25,5.0,55,Beginner,4.9
Alfa e Learning,25,2.0,25,All Levels,3.7
Tom Jay,25,1.0,6,Beginner,4.1
Gametutor    ,25,3.0,13,Intermediate,4.4
Packt Publishing,25,2.5,24,Intermediate,3.3
Know Store,25,1.0,16,All Levels,4.3
Team Python,25,22.0,79,Expert,4.2
Packt Publishing,26,6.0,36,Expert,3.1
Packt Publishing,25,4.5,70,Expert,3.0
Senol Atac,25,4.5,62,All Levels,4.2
Packt Publishing,25,2.5,16,Intermediate,4.9
Vinay Kumar Patil,25,9.5,81,All Levels,4.8
Govand Game Studios,25,9.0,37,Beginner,4.7
Amir J,25,6.0,65,Intermediate,4.3
Antonio Papa,25,6.0,60,Beginner,3.8
Avinash Jain  TheCodex,25,1.5,19,Intermediate,4.6
Shokal Shah  Ara fat,25,1.0,10,All Levels,2.3
Ashwin Pajankar   50 000  Students Worldwide,25,8.0,76,Beginner,3.8
Dr  Pavan Duggal,25,1.0,38,All Levels,4.3
Timo H    C# Development    Net   DevOps,26,2.0,36,Beginner,3.5
Packt Publishing,25,3.0,22,Beginner,3.8
Atila Fassina,25,2.5,43,Intermediate,4.2
K Sathyaprakash Reddy,25,2.5,8,Intermediate,4.2
Michael McGuire,25,12.5,47,Beginner,3.7
Sandip Bhattacharya,25,3.5,18,Beginner,4.1
Kazi Ariyan,25,3.0,22,Intermediate,4.5
TELCOMA Global 68 000  Students ,25,8.5,82,Beginner,3.7
Xcourse Team,25,5.0,53,Intermediate,3.4
Nathan Cope,25,10.0,48,Beginner,4.5
Bluelime Learning Solutions,25,2.5,28,Intermediate,4.0
Francisco Juretig,25,18.5,75,All Levels,3.6
Packt Publishing,25,9.0,59,Expert,3.4
Amr Swalha,25,4.5,44,All Levels,3.7
Ahmed Attia,25,5.0,33,Beginner,3.7
Packt Publishing,25,2.0,31,Beginner,3.4
Jonas Schindler,25,2.5,48,Beginner,3.6
Arash Ahadzadeh  Andrew Hulenko,25,17.0,162,All Levels,4.2
Eddie Kong,25,2.0,13,Intermediate,4.0
Yohann Taieb  Anatoli  Tolik  Eidelman,25,1.5,35,All Levels,3.6
Kameswara Sarma Uppuluri,25,1.0,28,All Levels,4.1
Luc Zio,26,4.0,30,Intermediate,4.1
Marufa Yasmin,25,1.0,5,All Levels,2.2
Microservice Zone,25,2.0,33,All Levels,4.0
Amr Swalha,25,3.0,34,All Levels,4.3
Skill Valley,25,2.0,30,All Levels,2.0
B Praveen Kumar,25,2.5,23,All Levels,4.5
Akram Abdulrazaq,25,1.0,19,Beginner,3.7
Gopal Prasad Malakar,25,1.0,13,Beginner,4.2
Asif Muhammed,25,5.5,34,All Levels,4.6
Darrel Wilson,25,3.0,17,Beginner,4.5
Kithinji Charles,25,4.5,69,All Levels,4.3
Dunk Chawannut,25,42.0,8,Beginner,3.5
Greg Cerveny,25,1.0,16,All Levels,3.9
Delta ERP Consulting,25,2.5,22,All Levels,3.1
Prasun Singha Roy,25,3.0,40,Beginner,3.9
Diego Adri n C rdenas Jorge,25,37.0,8,All Levels,3.7
Dawid Tuminski,25,9.5,112,All Levels,4.6
Umair Butt,25,1.0,6,Beginner,4.5
Shivam Kumar,25,1.0,19,Beginner,3.5
Nick Walter,25,1.5,12,All Levels,4.5
Johnny Hamilton,25,1.5,44,All Levels,4.3
Kazi Ariyan,25,11.0,87,Beginner,3.7
Easylearning guru,25,4.0,33,All Levels,2.9
Abhishek Kumar,25,3.5,26,Intermediate,4.5
Andi Setiyadi,25,5.0,24,All Levels,4.7
Packt Publishing,25,4.0,44,Expert,3.0
Devscreencast Elearning  Terry Ogbemudia Osayawe,25,2.0,21,All Levels,4.6
Louis Rossi,25,14.5,108,Beginner,4.6
Sivaram Nalliboyana,25,4.0,36,All Levels,4.1
Scott Taylor,25,5.5,39,Beginner,4.5
Edward Anthony,25,1.0,17,Beginner,4.1
Stone River eLearning,25,2.5,23,Beginner,3.9
Irfan Dayan,25,5.5,35,All Levels,4.8
Telmo Sampaio,25,5.0,17,Beginner,4.7
Antonio Papa,25,5.0,62,All Levels,4.4
Ranjeet Karki,25,4.5,45,Beginner,4.1
Ben Tyler,25,4.5,22,Beginner,4.0
Mike West,25,2.5,53,Intermediate,3.5
Mukul Verma,25,1.5,40,All Levels,4.2
Lon Hosford,25,3.5,34,Beginner,4.5
Qasim Shah  Syed Raza,25,2.0,19,Intermediate,4.2
3dmotive LLC,25,1.5,24,Beginner,2.7
Dave Hollingworth,25,3.0,58,All Levels,4.9
Ebenezer Ogbu,26,30.0,173,All Levels,4.3
Loony Corn,25,7.0,37,Beginner,4.5
Nisha Kiran,25,35.0,13,Beginner,4.2
Anytime Business Courses,25,4.5,61,Beginner,4.3
Lwiimbo Kasweshi,25,6.5,48,Beginner,3.3
The Startup Central Co   Muhammad Adil,25,2.0,12,All Levels,3.2
Packt Publishing,25,2.0,21,Beginner,4.4
Piyush Srivastava,25,8.5,78,All Levels,4.1
Karin Prater,25,28.0,157,All Levels,4.2
 Ali Desoki,25,2.0,29,Beginner,4.2
Timothy Kenny,25,3.5,18,All Levels,4.5
Srinidhi Ranganathan  Saranya Srinidhi,25,1.0,9,Beginner,3.5
William Sherif,25,2.0,28,Beginner,4.5
Toyin Akin,25,4.0,21,Intermediate,4.3
Invedion  ,25,11.5,44,All Levels,3.7
Infinite Skills,25,2.0,36,All Levels,4.3
QScutter Tutorials,25,6.0,89,All Levels,3.4
Brian Rouse,24,1.5,10,Beginner,3.7
Alexandru Rosu,24,3.0,38,All Levels,4.3
AI Sciences  AI Sciences Team,24,10.0,53,All Levels,4.1
Vandana Soni,24,5.0,15,Beginner,4.5
Snir Madar,24,3.0,31,Intermediate,3.9
Kaan Alpar,24,7.5,64,Beginner,4.7
Eduero Academy  Inc ,24,3.5,46,Intermediate,4.1
Packt Publishing,24,8.5,61,Intermediate,4.4
Dan Cox,24,2.0,50,Beginner,3.9
aseem sethi,24,1.0,8,Beginner,3.1
Coding Cafe,24,6.5,21,All Levels,4.2
Antonio Papa,24,14.0,157,All Levels,4.4
VTC Software Training,24,2.5,54,All Levels,4.2
Dave Partner,24,2.0,17,Beginner,3.5
Laurence Svekis,24,1.5,19,Beginner,4.3
Tim Johnson,24,2.0,9,All Levels,4.6
Umair Khan,24,26.5,97,All Levels,4.5
Infinite Skills,24,3.0,30,Intermediate,4.3
EDUmobile Academy,24,30.5,255,All Levels,4.1
 GeekCodeSchool Code Shool,24,19.5,266,All Levels,3.4
Framework Television Inc ,24,8.5,78,Beginner,3.9
Scott Dunn  CST  PMP,24,1.5,17,Beginner,3.9
Bluelime Learning Solutions,24,1.0,12,Beginner,3.4
Uzochukwu Eddie Odozi,24,10.0,81,All Levels,4.5
SimpliCode Point,24,3.0,22,All Levels,3.5
Packt Publishing,24,3.0,23,Intermediate,3.0
Enrique Galicia,24,2.5,20,Beginner,4.5
Vladislav Bergman,24,1.5,10,Intermediate,4.7
Mohammed Khan  Mohammed Khan,24,7.5,53,Beginner,3.8
Packt Publishing,24,12.0,84,Beginner,4.4
Arbaoui Mehdi,24,2.0,32,Beginner,4.5
Catalin Stefan,24,24.5,340,All Levels,4.6
Abid Majeed,24,6.5,39,All Levels,4.2
Saran Siri,24,1.0,12,Beginner,3.9
Musavi Abdullah,24,24.5,244,All Levels,4.4
Suresh Kumar Srivastava,24,4.0,48,Intermediate,3.3
Nour Islam Mokhtari,24,9.5,68,Intermediate,4.4
Icaro Lavrador,24,2.5,26,All Levels,4.3
Charles Smith,24,1.0,45,Beginner,4.1
IDX Solutions,24,5.0,41,All Levels,3.6
Naveen Kumar A,24,42.0,10,All Levels,3.0
Lyju Edwinson,24,3.5,39,Intermediate,4.5
Ankit Mistry,24,6.5,83,Intermediate,4.0
Steven Mosbrucker,25,7.0,48,Beginner,4.6
Mindaugas Bar auskas,24,9.0,82,All Levels,4.2
Packt Publishing,24,7.0,91,Beginner,4.3
